epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.16560648,-0.16560653546633564,0.7170865535736084,-0.7170867535318836
1,0.83499944,-0.8349992293760041,0.864439845085144,-0.8644394369743694
2,0.88075143,-0.8807510387535408,0.8686791658401489,-0.8686791727336768
3,0.90117586,-0.9011762027289266,0.8711594343185425,-0.8711592591950826
4,0.9000404,-0.9000408134170782,0.8824095129966736,-0.8824093964333847
5,0.914438,-0.9144381082085805,0.8911797404289246,-0.8911796315947426
6,0.92015076,-0.9201510590370571,0.8959406018257141,-0.8959405087282725
7,0.92422765,-0.9242275406684831,0.898513674736023,-0.89851370168345
8,0.9285726,-0.9285728437042682,0.8979765772819519,-0.8979770375119749
9,0.92728174,-0.9272817912224297,0.8980242013931274,-0.8980241020984738
10,0.92938125,-0.9293811528760696,0.8993709087371826,-0.8993709947322016
11,0.9314779,-0.9314779576575645,0.8802211284637451,-0.8802211763702821
12,0.93664646,-0.9366467168955045,0.8998391628265381,-0.8998391576041685
13,0.93764746,-0.9376474153772693,0.9047840237617493,-0.9047839024635119
14,0.93942004,-0.9394202289458747,0.9019379615783691,-0.9019381470769365
